"word","count"
"rate",776
"joint",776
"easily",772
"romantic",769
"chairs",768
"die",764
"concept",759
"pricing",758
"mix",756
"english",756
"mains",755
"higher",755
"quiet",754
"arrived",754
"orders",752
"change",751
"surprise",750
"barbeque",748
"pie",743
"salads",742
";)",741
"filled",740
"surprised",740
"giving",739
"toast",738
"35",737
"item",736
"juicy",735
"nicely",734
"cheesecake",734
"size",733
"dosas",732
"difficult",731
"added",730
"mango",729
"personally",729
"wide",728
"taking",728
"american",726
"apple",725
"book",722
"walls",722
"disappointment",722
"potatoes",721
"hope",720
"weekday",719
"buds",717
"watering",717
"guy",716
"corner",716
"eggs",713
"impressed",712
"refreshing",709
"spot",707
"customer",706
"15",705
"seated",705
"bland",703
"juice",701
"place!",701
"playing",698
"grill",697
"kebab",694
"mushrooms",694
"due",693
"play",692
"finish",692
"care",691
"upto",691
"lover",690
"walk",688
"kids",687
"empty",687
"it!",686
"chose",686
"coz",685
"crust",685
"brownie",683
"word",682
":p",679
"paratha",678
"vegetables",678
"personal",676
"yum",675
"lighting",675
"read",673
"office",673
"hotel",670
"combination",670
"polite",668
"low",667
"mixed",667
"vada",666
"stop",665
"spices",665
"normal",664
"complete",663
"nation",662
"alcohol",662
"chance",660
"!!!",658
"kabab",657
"creamy",656
"single",655
"improve",654
"talk",653
"street",653
"dark",651
"hole",651
"cocktail",646
"prefer",645
"wife",644
"eaten",643
"problem",643
"attention",643
"wheat",641
"pathetic",641
"takes",640
"tender",640
"popular",637
"seats",635
"dine",632
"thin",632
"range",632
"rich",631
"bengali",631
"classic",631
"stomach",631
"short",629
"delight",628
"typical",628
"charge",627
"dj",624
"avoid",623
"desert",623
"lounge",622
"poor",621
"setting",618
"hospitality",618
"plates",617
"roti",615
"college",614
"outlet",612
":-)",611
"offers",610
"ambience:",608
"similar",607
"-----",606
"onion",606
"crisp",605
"classy",605
"aloo",602
"turn",601
"20",599
"choices",598
"pastas",595
"spacious",594
"ka",593
"cup",593
"club",593
"hand",592
"veggie",590
"cheesy",588
"chips",587
"lazy",586
"catch",585
"moment",584
"total",583
"show",582
"thick",580
"horrible",580
"bucks",579
"literally",578
"true",577
"strong",574
"idea",572
"life",572
"sour",572
"helpful",569
"level",567
"signature",567
"hit",565
"asian",564
"boneless",564
"fry",562
"interior",562
"forward",561
"cheap",560
"heart",559
"ready",558
"spent",558
"lights",558
"entered",558
"bao",555
"mocktails",555
"write",554
"tad",553
"equally",551
"clean",550
"free",549
"lime",549
"front",548
"attentive",548
"peri",547
"brew",546
"bring",546
"managed",542
"chat",541
"chilled",539
"kinda",538
"valet",538
"yesterday",538
"wise",537
"shake",537
"craving",536
"weather",536
"pan",535
"india",535
"stand",535
"brewed",535
"sizzler",533
"sat",531
"generous",530
"played",529
"touch",527
"velvet",527
"cakes",526
"floors",526
"double",525
"opened",524
"lit",523
"year",523
"food!",523
"match",523
"wanna",523
"offered",523
"recently",523
"impressive",523
"star",521
"understand",521
"foodie",520
"suggested",520
"ordinary",518
"case",517
"owner",517
"sizzlers",513
"wow",512
"pitcher",509
"traditional",509
"entrance",508
"reach",506
"mojito",506
"caramel",506
"type",504
"happened",504
"quickly",503
"village",502
"perfection",502
"standard",497
"oil",496
"ground",496
"ambiance:",496
"job",494
"card",494
"reading",494
"monkey",493
"lil",492
"pick",492
"tasting",492
"mentioned",492
"satisfied",492
"30",491
"paying",491
"atleast",491
"room",490
"topped",490
"naan",489
"stay",489
"ghee",488
"trust",487
"kebabs",487
"strawberry",486
"fancy",485
"types",484
"banana",483
"spinach",483
"paid",482
"brought",482
"blueberry",481
"rolls",480
"absolute",480
"hype",479
"tiny",478
"finger",478
"pot",477
"pirate",475
"including",474
"overpriced",473
"waited",471
"iced",470
"bunch",470
"breads",470
"beautifully",470
"pure",469
"mashed",467
"matter",466
"vanilla",466
"selection",466
"run",465
"disappoint",465
"ago",464
"bowl",464
"basil",464
"thali",464
"orange",464
"dint",463
"ate",462
"feels",462
"dip",461
"smile",461
"rush",460
"continental",460
"goan",458
"provide",458
"pancakes",458
"rude",457
"delivery",457
"idli",456
"arrangement",456
"doubt",455
"months",455
"casual",454
"thumbs",454
"wooden",454
"building",453
"lasagna",452
"paradise",452
"heaven",451
"indoor",451
"happening",450
"mousse",449
"heavenly",447
"note",445
"gulab",445
"noisy",445
"piece",445
"past",444
"beverages",444
"sea",443
"lost",443
"charm",442
"smoke",442
"advance",441
"omelette",441
"complimentary",440
"planning",439
"unlimited",439
"adds",438
"multiple",438
"tangy",436
"drive",435
"pricey",434
"visits",434
"walked",434
"spiced",433
"relax",432
"missing",432
"points",430
"cupcakes",430
"cut",429
"nagar",429
"proper",429
"server",429
"reservations",429
"plain",428
"good!",427
"appetite",427
"round",426
"foodies",426
"changed",425
"earlier",425
"environment",425
"oily",424
"husband",423
"(i",422
"meghana",422
"provided",422
"cottage",421
"servers",421
"bath",419
"dim",418
"beans",416
"vegetable",416
"rotis",415
"watch",415
"complain",415
"lively",413
"snacks",413
"evenings",413
"surprisingly",413
"soups",412
"fill",410
"coconut",409
"relaxed",409
"presented",409
"8/10",408
"damn",408
"pearl",407
"peaceful",407
"sort",406
"carte",406
"games",406
"100",405
"smoking",405
"sausages",405
"guests",404
"makhani",403
"grab",402
"leaves",402
"songs",401
"appetizers",401
"1st",400
"texture",400
"parathas",400
"immediately",400
"art",399
"lack",399
"combo",399
"glasses",399
"affordable",397
"onions",396
"ingredients",396
"opposite",395
"baby",394
"young",394
"board",393
"salt",392
"ideal",392
"unlike",392
"barbecue",391
"situated",391
"milk",390
"shot",390
"costly",390
"vapour",390
"generally",390
"colleagues",390
"vfm",389
"month",388
"cute",387
"face",387
"folks",387
"wood",386
"crunchy",385
"request",385
"gujarati",385
"names",384
"finished",384
"patty",383
"missed",382
"melt",381
